Carat,Clarity,Color,Depth,Table,Price,Lab,Dealer
1.34,SI2,H,62.09999847,60,8276.175,J,224
1.06,SI2,I,60.20000076,61,5075.81,D,224
1,VS2,F,64.80000305,64,7686,D,224
1.18,SI1,G,61.59999847,63,8421.66,J,224
1.06,SI1,I,62.5,63,5665.8325,D,224
1.01,SI1,H,63.29999924,59,6299.6225,D,224
1.08,SI1,H,64.30000305,61,6736.23,D,224
1.39,SI2,I,63.20000076,60,7111.76125,D,224
1.02,SI1,H,60.20000076,61,6361.995,D,224
1.05,SI2,G,59.20000076,59,6445.03125,J,26
1.5,VS2,F,59.59999847,63,17385,J,153
1.05,SI2,F,62.90000153,58,6798.9075,J,26
1.04,VS2,H,62.09999847,55,7958.548,J,26
1.04,SI2,G,57.5,61,5281.38,D,26
1.04,VVS2,I,58.20000076,61,7289.256,D,26
1.04,SI1,I,,,4535.96,none,26
1.01,SI1,H,63.40000153,60,6730.8925,J,224
1.03,I1,G,,,2519.483,none,26
1.03,VS2,H,61.09999847,59,7605.5715,J,26
1.02,I1,I,,,3628.9815,none,26
1.02,SI2,G,62.59999847,57,6533.1,J,26
1.02,VS1,H,58.40000153,61,7979.715,J,26
1.02,I1,H,,,2868.342,none,26
1.02,VS2,I,,,6890.865,none,26
1.23,SI1,J,60.90000153,61,5627.25,F,154
1.01,VS2,G,63,59,7815.2285,J,26
1.01,SI2,H,61.59999847,62,5031.99675,D,26
1.5,VS1,E,61.70000076,59,19215,J,153
1.22,SI2,J,59.79999924,62,5767.55,J,154
1.01,SI1,H,61.90000153,58,6823.3075,J,26
1.01,I1,E,,,3075.87925,none,26
1.39,VVS2,G,62.70000076,56,13873.76375,J,153
1.06,SI1,I,65.09999847,56,5819.4,J,224
1.01,VS1,I,62.79999924,60,6737.0535,J,26
1.01,VS2,F,62.5,59,9052.04925,J,26
1.16,SI2,G,60.29999924,57,7500.56,K,154
1.01,SI2,D,56.59999847,61,7728.9745,J,26
1.01,SI2,E,61,57,6877.21625,J,26
1.5,SI1,F,57.20000076,63,16527.1875,J,218
1,SI1,J,58.40000153,61,4270,D,26
1,SI2,H,57.09999847,62,5249.05,J,26
1,SI1,F,60.59999847,61,7740.9,J,26
1,SI1,F,62.5,59,7740.9,J,26
1,VS2,H,60.5,60,7652.45,J,26
1,SI2,G,59.5,57,6580.375,J,26
1.04,SI1,H,62,61,6930.82,J,224
1,SI1,D,62.29999924,59,8451.55,J,26
1,VS1,F,63.90000153,54,9616.65,J,26
1,VS2,E,58.59999847,62,9079.85,J,26
1,SI1,G,62.90000153,57,7237.65,J,26
1,SI1,E,62.09999847,58,8068.775,J,26
1,I1,G,,,3086.6,none,26
1,VS1,E,65.5,63,9926.225,D,26
0.97,SI2,G,,,4745.434,D,26
1.01,SI2,E,55.70000076,59,5822.145,J,161
0.92,SI2,F,63.70000076,59,5891.197,J,26
0.9,SI2,I,,,4162.7925,none,26
0.9,VS2,G,61.20000076,60,5933.3175,J,26
0.9,VVS2,E,63.40000153,63,7389.54,J,26
0.9,VS1,H,53.29999924,60,5450.1975,D,26
0.86,I1,K,,,1301.008,none,26
1.06,SI2,I,61.5,63,5423.3575,J,224
1.33,SI1,G,61.40000153,58,10344.075,J,153
1.03,SI2,F,63.29999924,65,6251.585,J,154
0.83,I1,F,,,1454.34675,none,26
1.08,SI1,I,60.70000076,62,6168.015,J,224
0.81,SI2,I,60.29999924,62,2377.85625,D,26
0.8,SI1,H,61.70000076,60,3844.22,J,26
1,VS2,G,61.40000153,63,7663.125,J,224
0.79,VS1,F,59.90000153,59,5198.49625,J,26
0.78,VS1,E,63.5,59,5133.882,J,26
0.76,VS1,G,,,3515.247,none,26
0.76,SI2,H,58.5,62,2839.55,D,26
1.17,SI2,G,60.20000076,59,7377.87375,J,224
0.75,VS2,G,63.40000153,57,4387.425,J,26
0.75,SI1,G,61.09999847,57,3935.64375,J,26
0.74,SI2,I,59.59999847,56,3158.6715,K,26
0.74,IF,G,58.40000153,59,5527.393,J,26
0.58,VS2,F,57.79999924,57,2392.5725,J,170
0.74,SI1,H,60.90000153,59,3027.7655,D,26
1.3,SI2,H,62.70000076,58,7137,D,192
1.08,VS1,K,60.40000153,60,5580.036,J,126
0.63,VS1,G,59.29999924,62,3035.97,J,55
0.73,VS1,G,65,58,3612.49625,J,170
0.39,SI2,K,,,594.75,D,20
0.39,SI1,I,,,728.56875,D,20
0.45,SI1,E,57.29999924,65,1338.1875,none,6
0.74,VS1,K,,,2762.568,none,26
0.39,VS1,H,,,1011.075,D,20
0.39,VVS2,H,,,1130.025,D,20
1,SI1,G,62.90000153,63,6496.5,J,224
1,VS2,F,61.5,62,8570.5,J,224
1.13,VS2,F,61,59,10174.068,J,225
1.03,SI2,G,63.20000076,57,6495.05125,J,224
1.12,SI1,F,63.40000153,57,8531.46,J,224
1.79,SI1,H,60.70000076,61,15286.6,D,109
1.04,SI2,D,62.59999847,61,7493.85,J,224
1.48,VS2,K,63.29999924,61,8350.9,J,224
1.01,SI1,J,63,58,5167.53875,J,224
1.14,SI1,J,62.20000076,63,5606.6625,J,224
1.09,VS2,K,59,59,5452.18,J,224
1.15,VS1,K,59.90000153,61,6024.13125,J,224
0.39,SI2,F,,,808.86,D,20
0.39,VS1,F,,,1253.733,D,20
0.39,VVS2,F,,,1375.062,D,20
1.01,SI1,H,4.099999905,55,6037.78,D,2
3.01,VS1,J,64.69999695,55,27885.76875,J,121
0.46,SI1,G,61.59999847,61,1420.5375,none,6
3.03,VS2,I,60.90000153,61,28722.582,J,121
3.1,I1,F,58.90000153,60,22692,J,121
3.18,VS2,K,60,61,25285.293,J,121
1.06,VS2,K,60.90000153,59,5295.654,J,126
1.02,IF,K,60.70000076,61,5848.68,J,126
1.5,SI2,I,64.32579803,59,8692.5,I,20
0.79,VVS2,E,64.30000305,55,5204.52,J,126
1.5,SI1,K,63.40000153,56,7891.875,J,121
2.01,SI2,F,62.40000153,57,19862.82,J,114
1.57,SI1,G,60.5,62,15203.4875,J,93
0.54,VS1,F,58.90000153,62,2779.3125,J,109
1.52,VS1,I,59,60,12343.35,J,121
1.69,SI1,J,60.20000076,64,10515.18,J,126
1.18,SI1,E,62.70000076,59,9645.32,J,126
1.1,SI1,F,64.5,57,8052,J,126
1.13,VS2,I,63.09999847,56,6855.0885,J,126
1.01,SI1,I,62.70000076,59,5768.23625,J,224
1.01,VS2,I,62.70000076,59,6127.1145,J,126
1.01,VS1,F,65.59999847,57,8650.044,J,126
